DISTRICT NAME,GDP (in Rs. Cr.)|1999-00,GDP (in Rs. Cr.)|2000-01,GDP (in Rs. Cr.)|2001-02,GDP (in Rs. Cr.)|2002-03,GDP (in Rs. Cr.)|2003-04,GDP (in Rs. Cr.)|2004-05,GDP (in Rs. Cr.)|2005-06,GDP (in Rs. Cr.)|2006-07,GDP (in Rs. Cr.)|2007-08,GDP (in Rs. Cr.)|2008-09,GDP (in Rs. Cr.)|2009-10,GDP (in Rs. Cr.)|2010-11,GDP (in Rs. Cr.)|2011-12,GDP (in Rs. Cr.)|2012-13,Growth Rate % (YoY)|2000-01,Growth Rate % (YoY)|2001-02,Growth Rate % (YoY)|2002-03,Growth Rate % (YoY)|2003-04,Growth Rate % (YoY)|2004-05,Growth Rate % (YoY)|2005-06,Growth Rate % (YoY)|2006-07,Growth Rate % (YoY)|2007-08,Growth Rate % (YoY)|2008-09,Growth Rate % (YoY)|2009-10,Growth Rate % (YoY)|2010-11,Growth Rate % (YoY)|2011-12,Growth Rate % (YoY)|2012-13,STATE NAME
ADILABAD,3463.28,3742.69,4209.4,4099.29,4781.85,6527.41,6813.28,7650.79,8316.5,9342.33,9514,9962,10567,11111,8.067785452,12.46990801,-2.61581223,16.65068829,-4.999111223,4.379531851,12.29231736,8.701192949,12.33487645,1.837550161,4.708850116,6.073077695,5.148102584,ANDHRA PRADESH
ANANTAPUR,4728.59,6497.7,5726.9,5728.86,6083.64,9286.21,9603.8,10080.87,12799.58,12759.93,13532,14793,15799,16563,37.41305548,-11.86265909,0.03422445,6.192855123,29.50421129,3.420017424,4.967512859,26.96900168,-0.30977579,6.050738523,9.318652084,6.800513757,4.835749098,ANDHRA PRADESH
CHITTOOR,5395.57,6223.34,6679.35,6490.28,7100.34,9048.39,10086.16,10656.3,12095.35,12528.14,12875,14685,15423,16144,15.34165992,7.327415825,-2.83066466,9.399594471,10.30753457,11.46911218,5.652696368,13.50421816,3.578151934,2.768647221,14.05825243,5.025536261,4.674836283,ANDHRA PRADESH
GUNTUR,7905.62,8440.46,9093.67,8308.96,9317.54,11878.6,13742.78,14654.84,16133.66,17406.21,19098,19367,21126,22395,6.765313789,7.739033181,-8.629189315,12.13846258,6.993369495,15.69360026,6.63664848,10.09100065,7.887546905,9.719462192,1.408524453,9.082459854,6.006816245,ANDHRA PRADESH
HYDERABAD,9213.4,9798.19,10579.58,11572.47,12449.88,16932.79,19849.35,23079.49,25956.4,28430.61,29889,34847,37346,39458,6.347168255,7.974840251,9.384966133,7.581873187,3.085732553,17.2243322,16.27327847,12.46522345,9.532177035,5.129647236,16.58804242,7.17134904,5.65522412,ANDHRA PRADESH
KARIMNAGAR,6470.23,6488.53,6596.97,6755.13,7611.4,9090.45,10918.47,11874.16,12610.37,13838.7,13331,15441,17389,18308,0.282833841,1.671256818,2.39746429,12.67584784,-6.706256405,20.10923552,8.752966304,6.200101734,9.740634097,-3.668697204,15.82776986,12.61576323,5.284950256,ANDHRA PRADESH
KHAMMAM,4947.7,5251.99,5660.22,5824.08,6473.74,8194.36,8665.42,9413.7,10265.49,11252.57,11663,13123,13567,14335,6.150130364,7.772863239,2.894940479,11.15472315,4.513156228,5.748588053,8.635242146,9.048408171,9.615517623,3.647433431,12.51822001,3.383372704,5.660794575,ANDHRA PRADESH
KRISHNA,8615.47,8870.78,9401.85,9935.66,9658.97,14736.31,15427.16,16772.62,18900.74,20754.97,22839,23463,25205,26909,2.963390274,5.986733974,5.677712365,-2.784817516,13.73220954,4.688079987,8.721371918,12.68805947,9.810356632,10.04111304,2.732168659,7.424455526,6.76056338,ANDHRA PRADESH
KURNOOL,4548.1,5178.12,5528.65,5459.11,5945.7,7994.95,9783.38,9387.99,11251.05,12241,12441,13780,13786,14569,13.85237792,6.769445281,-1.257811581,8.913357672,3.632204787,22.36949574,-4.041445799,19.84514257,8.79873434,1.633853443,10.76280042,0.043541364,5.679675033,ANDHRA PRADESH
MAHABUBNAGAR,3796.76,4376.17,4717.05,4915.71,5131.12,7107.02,8543.47,8562.31,9822.6,10598.71,11845,12808,12783,13465,15.26064329,7.789459733,4.211530512,4.382072986,5.608717005,20.21170617,0.220519297,14.71904194,7.901268503,11.75888386,8.130012664,-0.195190506,5.335210827,ANDHRA PRADESH
MEDAK,6681.38,6141.82,6483.42,6414.96,7487.09,8906.57,10158.74,12597,12367.64,14790.43,15669,20410,24101,24520,-8.075577201,5.561869283,-1.055924188,16.7129647,2.782656546,14.0589475,24.00159862,-1.820750972,19.58975197,5.940124797,30.25719574,18.08427242,1.738517074,ANDHRA PRADESH
NALGONDA,4907.01,5184.13,5334.46,5193.16,5703.24,7658.54,8665.24,9357.15,12109.19,13982.38,13495,14462,15443,16126,5.64743092,2.89981154,-2.648815438,9.822150675,11.2490444,13.14480306,7.984891359,29.41109205,15.4691602,-3.485672682,7.165616895,6.78329415,4.422715794,ANDHRA PRADESH
NELLORE,4575.15,4811.17,5190.19,5499.76,5421.2,7612.73,8283.88,9302.47,10227.41,11494.65,11694,11707,13900,14774,5.158737965,7.87791743,5.96452153,-1.428425968,13.13989523,8.816153995,12.29604968,9.942950636,12.3906248,1.73428508,0.11116812,18.73238234,6.287769784,ANDHRA PRADESH
PRAKASAM,4504.11,5209.69,5253.02,5166.96,5682.18,8507.54,9495.66,10543,11027.89,12361.71,12799,14742,15616,16507,15.66524796,0.831719354,-1.638295685,9.97143388,26.01624729,11.61463831,11.0296704,4.599165323,12.09497012,3.537455579,15.18087351,5.928639262,5.705686475,ANDHRA PRADESH
RANGAREDDY,7466.97,7576.74,8277.61,8807.38,9502.03,13310.46,16656.56,19180.36,20969.65,24905.95,24748,33036,35406,36535,1.470074207,9.250284423,6.400035759,7.887135561,6.764975484,25.13887574,15.15198817,9.328761295,18.77141488,-0.634185807,33.48957492,7.173992009,3.188725075,ANDHRA PRADESH
SRIKAKULAM,2881.3,3271.96,3336.08,3410.17,3801.79,5059.99,5378.08,5848.86,6369.69,6649.93,7261,8092,8661,9144,13.55846319,1.959681659,2.220870003,11.48388497,9.636776361,6.28637606,8.753681611,8.90481222,4.399586165,9.189119284,11.44470459,7.031636184,5.576723242,ANDHRA PRADESH
VISAKAPATNAM,7917.36,9349.9,9773.66,11227.5,12770.07,19371.01,19575.24,22279.55,25519.26,23532.83,27260,28991,32201,33524,18.09365748,4.532240987,14.87508262,13.73921176,12.98708621,1.054307442,13.81495195,14.54118238,-7.784042327,15.83817161,6.349963316,11.07240178,4.108568057,ANDHRA PRADESH
VIZIANAGARAM,2636.85,2735.93,3006.34,2978.88,3306.7,4988.9,5141.09,5499.93,6457.1,6675.89,7326,7710,8339,8780,3.7575137,9.883659304,-0.913403008,11.00480718,16.48168869,3.05057227,6.979842796,17.40331241,3.388363197,9.738177232,5.241605242,8.158236057,5.288403885,ANDHRA PRADESH
WARANGAL,4237.43,4985.86,4948.11,4757.17,5550.04,7349.51,8217.91,8579.7,9438.14,10161.06,10186,11426,12002,12679,17.66235666,-0.757141195,-3.858847115,16.66684184,-2.030435817,11.8157537,4.402457559,10.00547805,7.65956004,0.245446833,12.17357157,5.041134255,5.640726546,ANDHRA PRADESH
CHANGLANG,176.09,182.02,194.24,190.13,204.19,225.48,226.8,249.81,258.71,NA,NA,NA,NA,NA,3.367596116,6.713547962,-2.115939044,7.394940304,10.42656349,0.585417775,10.14550265,3.562707658,NA,NA,NA,NA,NA,ARUNACHAL PRADESH
DIBANG VALLEY,86.85,92.86,113.45,104.78,117.24,140.84,131.62,150.4,155.66,NA,NA,NA,NA,NA,6.919976972,22.1731639,-7.642133098,11.89158236,20.12964858,-6.546435672,14.26834828,3.497340426,NA,NA,NA,NA,NA,ARUNACHAL PRADESH
KAMENG: EAST,71.64,77.02,91.34,85.49,95.76,112.52,105.82,120.34,124.5,NA,NA,NA,NA,NA,7.509771078,18.59257336,-6.404641997,12.01310095,17.50208855,-5.954496978,13.72141372,3.456872195,NA,NA,NA,NA,NA,ARUNACHAL PRADESH
KAMENG: WEST,150.66,162.39,198.81,186.23,203.74,245.23,227.15,258.32,267.16,NA,NA,NA,NA,NA,7.785742732,22.42748938,-6.327649515,9.40235193,20.36418965,-7.372670554,13.72220999,3.422112109,NA,NA,NA,NA,NA,ARUNACHAL PRADESH
LOHIT,191.85,206.86,240.96,228.39,250.06,288.81,274.97,310.54,322.01,NA,NA,NA,NA,NA,7.823820693,16.48457894,-5.216633466,9.488156224,15.49628089,-4.792077837,12.93595665,3.693566046,NA,NA,NA,NA,NA,ARUNACHAL PRADESH
PAPUMPARE,228.39,243.34,285.93,278.77,312.51,371.36,352.68,397.54,414.05,NA,NA,NA,NA,NA,6.545820745,17.50226021,-2.504109397,12.10316749,18.8313974,-5.030159414,12.71974595,4.153041203,NA,NA,NA,NA,NA,ARUNACHAL PRADESH
SIANG: EAST,120,128.13,142.91,139.01,154.21,175.76,169.85,190.18,198.05,NA,NA,NA,NA,NA,6.775,11.5351596,-2.728990274,10.93446515,13.97445042,-3.362539827,11.96938475,4.138184877,NA,NA,NA,NA,NA,ARUNACHAL PRADESH
SIANG: UPPER,50.91,54.93,67.32,62.63,71.72,87.07,80.37,91.63,94.67,NA,NA,NA,NA,NA,7.896287566,22.55598034,-6.966726084,14.51381127,21.40267708,-7.69495808,14.01020281,3.317690713,NA,NA,NA,NA,NA,ARUNACHAL PRADESH
SIANG: WEST,139.65,150.44,172.28,165.14,183.87,213.1,202.15,227.48,236.04,NA,NA,NA,NA,NA,7.726459005,14.51741558,-4.144416067,11.34189173,15.89710121,-5.138432661,12.53029928,3.762968173,NA,NA,NA,NA,NA,ARUNACHAL PRADESH
SUBANSIRI: LOWER,120.14,129.66,142.76,140.47,161.18,185.5,177.94,199.07,206.97,NA,NA,NA,NA,NA,7.924088563,10.10334722,-1.604090782,14.74336157,15.08872068,-4.075471698,11.87478925,3.968453308,NA,NA,NA,NA,NA,ARUNACHAL PRADESH
SUBANSIRI: UPPER,65.45,70.41,82.22,78.35,88.36,103.18,97.47,110.08,114.22,NA,NA,NA,NA,NA,7.578304049,16.77318563,-4.70688397,12.77600511,16.77229516,-5.534018221,12.93731405,3.760901163,NA,NA,NA,NA,NA,ARUNACHAL PRADESH
TAWANG,82.3,88.38,110.1,102.36,112.71,135.01,124.28,141.07,145.82,NA,NA,NA,NA,NA,7.387606318,24.57569586,-7.029972752,10.11137163,19.78528968,-7.94755944,13.50981654,3.367122705,NA,NA,NA,NA,NA,ARUNACHAL PRADESH
TIRAP,127.81,139.36,154.22,149.4,164.7,185.18,177.82,200.25,207.89,NA,NA,NA,NA,NA,9.036851577,10.663031,-3.125405265,10.24096386,12.43472981,-3.974511286,12.6138792,3.815230961,NA,NA,NA,NA,NA,ARUNACHAL PRADESH
BAKSA,NA,NA,NA,NA,NA,1025.94,1059.03,1132.28,1161.31,NA,1480.1,NA,NA,NA,NA,NA,NA,NA,NA,3.225334815,6.916706798,2.563853464,NA,NA,NA,NA,NA,ASSAM
