"Report ID","Brand name","Company Name","Drug Identification Number","Common or Proper name","Active Ingredient(s)","Strength(s)","Dosage form(s)","Route of administration","Packaging size","ATC code","ATC description","Reason for shortage","Anticipated start date","Actual start date","Estimated end date","Actual end date","Shortage status","Updated date","Company comments","Health Canada comments","Contact Address","Company contact information","Status","Strength","Update","Date Updated"
"13528","MYLAN-NAPROXEN/ESOMEPRAZOLE MR","MYLAN PHARMACEUTICALS ULC","02443449","NAPROXEN/ESOMEPRAZOLE MR","ESOMEPRAZOLE
NAPROXEN","20MG
500MG","TABLET (IMMEDIATE AND DELAYED-RELEASE)","ORAL","60BT","M01AE","ANTIINFLAMMATORY/ANTIRHEUMATIC PROD.,NON-STEROIDS","Delay in shipping of the drug.","2019-04-26","","2019-05-10","","Actual shortage","2019-04-27","","","85 ADVANCE ROAD  ETOBICOKE, ONTARIO  CANADA M8Z 2S6","Mylan Pharmaceuticals ULC, 85 Advance Road, Etobicoke, ON, M8Z 2S6","Actual shortage","20MG
500MG","Updated Report","2019-04-27"
"19922","TEVA-ALMOTRIPTAN","TEVA CANADA LIMITED","02434849","ALMOTRIPTAN","ALMOTRIPTAN","12.5MG","TABLET","ORAL","6","N02CC","ANTIMIGRAINE PREPARATIONS","Requirements related to complying with good manufacturing practices.","","2017-08-17","2019-05-30","","Actual shortage","2019-04-26","","","30 NOVOPHARM COURT  TORONTO, ONTARIO  CANADA M1B 2K9","","Actual shortage","12.5MG","Updated Report","2019-04-26"
"41855","APO-LINEZOLID","APOTEX INC","02426552","LINEZOLID","LINEZOLID","600MG","TABLET","ORAL","30 BTL","J01XX","OTHER ANTIBACTERIALS","Disruption of the manufacture of the drug.","","2018-03-05","Unknown","","Actual shortage","2019-04-26","","","150 SIGNET DRIVE  TORONTO, ONTARIO  CANADA M9L 1T9","Apotex Customer Service   - 1-877-427-6839","Actual shortage","600MG","Updated Report","2019-04-26"
"50971","APO-VENLAFAXINE XR","APOTEX INC","02331683","VENLAFAXINE","VENLAFAXINE","37.5MG","CAPSULE (EXTENDED RELEASE)","ORAL","100 BTL and 500 BTL","N06AX","ANTIDEPRESSANTS","Disruption of the manufacture of the drug.","","2018-05-28","2019-06-07","","Actual shortage","2019-04-26","","","150 SIGNET DRIVE  TORONTO, ONTARIO  CANADA M9L 1T9","Apotex Customer Service   - 1-877-427-6839","Actual shortage","37.5MG","Updated Report","2019-04-26"
"52485","ACT LEVOFLOXACIN","TEVA CANADA LIMITED","02315432","LEVOFLOXACIN","LEVOFLOXACIN","500MG","TABLET","ORAL","100","J01MA","QUINOLONE ANTIBACTERIALS","Disruption of the manufacture of the drug.","","2018-04-15","2019-05-31","","Actual shortage","2019-04-26","","","30 NOVOPHARM COURT  TORONTO, ONTARIO  CANADA M1B 2K9","","Actual shortage","500MG","Updated Report","2019-04-26"
"61349","ACT ENALAPRIL","TEVA CANADA LIMITED","02291908","ENALAPRIL","ENALAPRIL SODIUM","16MG","TABLET","ORAL","100","C09AA","ACE INHIBITORS, PLAIN","Disruption of the manufacture of the drug.","","2018-08-15","2019-06-30","","Actual shortage","2019-04-26","","","30 NOVOPHARM COURT  TORONTO, ONTARIO  CANADA M1B 2K9","","Actual shortage","16MG","Updated Report","2019-04-26"
"63757","TEVA-TAMOXIFEN","TEVA CANADA LIMITED","00851973","TAMOXIFEN","TAMOXIFEN","20MG","TABLET","ORAL","30","L02BA","HORMONE ANTAGONISTS AND RELATED AGENTS","Disruption of the manufacture of the drug.","","2018-09-01","2019-04-30","2019-04-26","Resolved","2019-04-27","","","30 NOVOPHARM COURT  TORONTO, ONTARIO  CANADA M1B 2K9","","Resolved","20MG","Updated Report","2019-04-27"
"65494","TEVA-PRAZOSIN","TEVA CANADA LIMITED","01934228","PRAZOSIN","PRAZOSIN","5MG","TABLET","ORAL","100","C02CA","ANTIADRENERGIC AGENTS, PERIPHERALLY ACTING","Disruption of the manufacture of the drug.","","2018-10-01","2019-04-30","2019-04-26","Resolved","2019-04-27","","","30 NOVOPHARM COURT  TORONTO, ONTARIO  CANADA M1B 2K9","","Resolved","5MG","Updated Report","2019-04-27"
"66878","AURO-TELMISARTAN HCTZ","AURO PHARMA INC","02456389","Hydrochlorothiazide; Telmisartan","HYDROCHLOROTHIAZIDE
TELMISARTAN","12.5MG
80MG","TABLET","ORAL","100","C09DA","ANGIOTENSIN II ANTAGONISTS, COMBINATIONS","Demand increase for the drug.","","2018-11-13","2019-05-20","","Actual shortage","2019-04-26","","","3700 STEELES AVENUE WEST, SUITE 402  WOODBRIDGE, ONTARIO  CANADA L4L 8K8","Balaji Srinivasan","Actual shortage","12.5MG
80MG","Updated Report","2019-04-26"
"67222","TEVA-TELMISARTAN","TEVA CANADA LIMITED","02320177","TELMISARTAN","TELMISARTAN","40MG","TABLET","ORAL","30","C09CA","ANGIOTENSIN II ANTAGONISTS, PLAIN","Requirements related to complying with good manufacturing practices.","","2018-11-20","2019-05-31","","Actual shortage","2019-04-26","","","30 NOVOPHARM COURT  TORONTO, ONTARIO  CANADA M1B 2K9","","Actual shortage","40MG","Updated Report","2019-04-26"
"67225","TEVA-TELMISARTAN","TEVA CANADA LIMITED","02320185","TELMISARTAN","TELMISARTAN","80MG","TABLET","ORAL","100","C09CA","ANGIOTENSIN II ANTAGONISTS, PLAIN","Requirements related to complying with good manufacturing practices.","","2018-11-20","2019-05-31","","Actual shortage","2019-04-26","","","30 NOVOPHARM COURT  TORONTO, ONTARIO  CANADA M1B 2K9","","Actual shortage","80MG","Updated Report","2019-04-26"
"67228","TEVA-TELMISARTAN","TEVA CANADA LIMITED","02320185","TELMISARTAN","TELMISARTAN","80MG","TABLET","ORAL","500","C09CA","ANGIOTENSIN II ANTAGONISTS, PLAIN","Requirements related to complying with good manufacturing practices.","","2018-11-20","2019-05-31","","Actual shortage","2019-04-26","","","30 NOVOPHARM COURT  TORONTO, ONTARIO  CANADA M1B 2K9","","Actual shortage","80MG","Updated Report","2019-04-26"
